iter	Passed	Remaining
936	24619	1655
937	24639	1628
938	24661	1602
939	24684	1575
940	24707	1549
941	24729	1522
942	24750	1496
943	24772	1469
944	24792	1442
945	24814	1416
946	24836	1390
947	24859	1363
948	24881	1337
949	24903	1310
950	24924	1284
951	24947	1257
952	24969	1231
953	24993	1205
954	25016	1178
955	25038	1152
956	25060	1126
957	25083	1099
958	25104	1073
959	25127	1046
960	25150	1020
961	25173	994
962	25197	968
963	25220	941
964	25243	915
965	25266	889
966	25288	863
967	25311	836
968	25334	810
969	25357	784
970	25380	758
971	25402	731
972	25424	705
973	25446	679
974	25468	653
975	25490	626
976	25511	600
977	25533	574
978	25555	548
979	25577	521
980	25599	495
981	25620	469
982	25642	443
983	25665	417
984	25687	391
985	25709	365
986	25730	338
987	25752	312
988	25774	286
989	25796	260
990	25818	234
991	25840	208
992	25861	182
993	25882	156
994	25904	130
995	25925	104
996	25947	78
997	25969	52
998	25992	26
999	26015	0
